"구분1","평일","토요일","일요일","",""
"서울","1316","1319","1321","",""
"부산","1187","1196","1211","",""
"대구","1075","1080","1090","",""
"인천","1333","1355","1374","",""
"광주","1048","1039","1047","",""
"대전","1209","1214","1216","",""
"울산","1287","1332","1397","",""
"세종","1186","1180","1187","",""
"경기","1424","1449","1457","",""
"강원","1172","1214","1223","",""
"충북","1181","1213","1220","",""
"충남","1312","1347","1360","",""
"전북","1203","1235","1238","",""
"전남","1175","1200","1218","",""
"경북","1222","1253","1268","",""
"경남","1215","1235","1253","",""
"제주","1367","1451","1498","",""
